date,category,answer,clue,note
2026-09-08,Curling Basics,THE HOUSE,The circular target area at each end of the sheet consisting of four concentric rings.,Scoring is determined solely by stones that touch or rest inside the twelve-foot outer circle of the house.
2026-09-09,Rules & Scoring,HAMMER,The tactical advantage of throwing the final stone in an end.,The team without last-stone advantage in the first end earns it if the other team scores points.
2026-09-10,Shots & Shot Types,DRAW,A shot delivered with precise weight to come to rest inside the house without striking another stone.,Mastering draw weight is widely considered the foundational skill of elite curling delivery.
2026-09-11,Equipment & Gear,SLIDER,The smooth Teflon or stainless steel sole worn on a curler's sliding foot to facilitate a long delivery glide.,"Sliders vary in thickness, with thicker Teflon providing higher speed and less friction on the ice."
2026-09-12,Ice & Ice Reading,PEBBLE,Tiny frozen water droplets sprayed onto the ice sheet before play to reduce surface friction.,"Without pebble, the flat running band of the stone would create immense suction against the smooth ice and stop quickly."
2026-09-13,Stones,AILSA CRAIG,The uninhabited Scottish island that is the primary historical quarry for curling stone granite.,Common Green and Blue Hone granites harvested from Ailsa Craig are prized for low water absorption and impact resistance.
2026-09-14,Strategy & Tactics,FREE GUARD ZONE,The rule prohibiting teams from eliminating an opponent's stone positioned between the tee line and hog line outside the house before the sixth stone.,The modernization from a four-stone to a five-stone Free Guard Zone in 2018 dramatically increased offensive play.
2026-09-15,Positions & Team Roles,SKIP,The team captain who directs strategy from the house and traditionally throws the final two stones.,"While the skip traditionally throws fourth, team rules permit any player to hold skip duties regardless of throwing order."
2026-09-16,History,THE ROARING GAME,The centuries-old Scottish nickname for curling inspired by the sound of stones traveling over pebbled ice.,"Curling's earliest physical evidence includes stones inscribed with dates as early as 1511 in Stirling, Scotland."
2026-09-17,Sweeping,DIRECTIONAL SWEEPING,Modern sweeping technique where a brush head angle and motion influence a stone's curl path and lateral direction.,Revolutions in broom fabric and directional sweeping led World Curling to standardize brush head fabrics in 2016.
2026-09-18,Shots & Shot Types,FREEZE,A delicate draw shot that comes to rest touching or barely nestled against an opponent's stone.,An executed freeze makes it almost impossible for the opponent to remove the delivered stone without also displacing their own.
2026-09-19,Olympic Curling,CHAMOUNIX 1924,The French host venue where men's curling made its official Olympic debut retroactively confirmed by the IOC in 2006.,"Great Britain won the gold medal in 1924, skipped by Willie Jackson on outdoor natural ice sheets."
2026-09-20,Canadian Championships,THE BRIER,The prestigious annual Canadian men's curling championship first contested at Toronto's Granite Club in 1927.,Winners of the Brier receive the iconic purple heart crests and the right to represent Canada at the World Championship.
2026-09-21,Mixed Doubles,POWER PLAY,An optional tactical setting once per game allowing a team with hammer to place pre-positioned stones toward the side wings.,"The Power Play opens up the centre of the ice, creating higher-scoring ends with multiple angles."
2026-09-22,Curling Terminology,BLANK END,An end in which neither team scores any points leaving the score unchanged.,"In games with last-stone advantage, blanking an end allows the team to retain the hammer for the following end."
2026-09-23,Players & Legends,SANDRA SCHMIRLER,Canadian curling legend who skipped her Saskatchewan rink to 1998 Olympic gold and three World Championships.,"Affectionately nicknamed 'Schmirler the Curler,' she is celebrated as one of the greatest and most charismatic skips in history."
2026-09-24,Wheelchair Curling,DELIVERY STICK,The specialized cue used by wheelchair curlers to deliver stones from a stationary chair without sliding.,"Wheelchair curling does not permit sweeping, making delivery stick accuracy and release weight especially critical."
2026-09-25,Culture & Etiquette,BROOMSTACKING,The time-honoured curling tradition of socializing over beverages with opponents immediately after a match.,"Traditionally, the winning team buys the first round of drinks for their opponents, reflecting the sport's deep sportsmanship."
2026-09-26,Shots & Shot Types,HIT AND ROLL,A shot that strikes an opponent's stone to remove it and then rolls behind a guard or into the rings.,Executing a hit and roll accomplishes two objectives at once: eliminating a threat and securing scoring position.
